Question,Label
Có bao nhiêu kiểu dữ liệu nguyên thủy (primitive) trong Java?,BT1
Từ khóa nào dùng để thực thi các phương thức của Interface?,BT1
Gói nào trong Java chứa các lớp để thao tác với File (I/O)?,BT1
Lớp ArrayList có cho phép lưu trữ các phần tử trùng lặp không?,BT1
Từ khóa nào dùng để khai báo một ngoại lệ có thể xảy ra ở chữ ký phương thức?,BT1
Phương thức main nhận tham số là một mảng thuộc kiểu dữ liệu nào?,BT1
Kiểu dữ liệu char trong Java chiếm bao nhiêu byte?,BT1
Lớp Scanner có phương thức nào để đọc toàn bộ một dòng văn bản?,BT1
Đâu là lớp bao bọc (Wrapper class) của kiểu dữ liệu nguyên thủy int?,BT1
Cấu trúc switch-case không chấp nhận kiểu dữ liệu nào trước Java 7?,BT1
Phương thức nào dùng để so sánh hai chuỗi mà không phân biệt chữ hoa chữ thường?,BT1
Từ khóa protected cho phép truy cập ở những đâu?,BT1
Lớp Math chứa các phương thức toán học đều có đặc điểm chung là gì?,BT1
"Để lấy độ dài của một mảng arr, ta dùng thuộc tính nào?",BT1
Cú pháp để khai báo một mảng số nguyên gồm 10 phần tử là gì?,BT1
Ngoại lệ NullPointerException xảy ra khi nào?,BT1
"Trong Java, một lớp có thể thực thi (implement) cùng lúc bao nhiêu Interface?",BT1
Phương thức addFirst() và addLast() thuộc lớp nào trong Collection?,BT1
Ký hiệu <T> trong khai báo lớp hoặc phương thức có nghĩa là gì?,BT1
Đâu là từ khóa dùng để gọi lại một constructor khác trong cùng một lớp?,BT1
Phương thức next() và nextLine() của lớp Scanner khác nhau ở điểm nào?,BT1
Một phương thức có từ khóa final thì có thể bị ghi đè không?,BT1
Kiểu dữ liệu nào được dùng để lưu trữ giá trị đúng hoặc sai?,BT1
Từ khóa package dùng để làm gì trong mã nguồn Java?,BT1
Lớp Object có phương thức nào dùng để sao chép một đối tượng?,BT1
Cấu trúc dữ liệu nào lưu trữ các phần tử theo cơ chế vào trước ra trước (FIFO)?,BT1
Phương thức charAt(int index) dùng để làm gì?,BT1
"Trong Java, từ khóa super có thể dùng ở phương thức tĩnh (static) không?",BT1
"Interface nào không chứa bất kỳ phương thức nào, dùng để đánh dấu (Marker Interface)?",BT1
Lớp nào được dùng để tạo ra các chuỗi ký tự có thể thay đổi (mutable)?,BT1
Kết quả của phép toán 5 / 2 trong Java khi cả hai là số nguyên là bao nhiêu?,BT1
Giải thích vì sao OOP hỗ trợ tái sử dụng mã nguồn.,BT2
Giải thích vì sao cần đóng gói dữ liệu.,BT2
So sánh class và object bằng ví dụ thực tế.,BT2
Giải thích sự khác biệt giữa overloading và overriding.,BT2
Phân biệt abstract class và interface.,BT2
Giải thích cơ chế gọi phương thức động trong đa hình.,BT2
So sánh quan hệ kế thừa và kết tập.,BT2
Giải thích vì sao Java không hỗ trợ đa kế thừa lớp.,BT2
Giải thích vai trò của getter/setter.,BT2
Giải thích cơ chế xử lý ngoại lệ trong Java.,BT2
Trình bày ý nghĩa của từ khóa super.,BT2
Trình bày ý nghĩa của từ khóa this.,BT2
Giải thích sự khác biệt giữa ArrayList và LinkedList.,BT2
Giải thích tại sao nên lập trình theo interface.,BT2
Phân biệt compile-time polymorphism và runtime polymorphism.,BT2
Giải thích nguyên tắc “is-a” và “has-a”.,BT2
Giải thích tại sao constructor không có kiểu trả về.,BT2
Giải thích vai trò của UML trong thiết kế OOP.,BT2
Giải thích vì sao cần tách module trong dự án OOP.,BT2
Mô tả mối quan hệ association trong sơ đồ lớp.,BT2
Giải thích sự khác biệt giữa biến static và biến instance (biến thực thể).,BT2
Tại sao tính đóng gói (Encapsulation) lại quan trọng trong bảo mật dữ liệu?,BT2
Trình bày sự khác biệt giữa nạp chồng (Overloading) và ghi đè (Overriding).,BT2
Mục đích chính của việc sử dụng Abstract Class là gì?,BT2
Tại sao Java không hỗ trợ đa kế thừa lớp nhưng lại hỗ trợ thực thi nhiều Interface?,BT2
Giải thích cơ chế Gom rác (Garbage Collection) trong Java hoạt động như thế nào?,BT2
Phân biệt giữa Checked Exception và Unchecked Exception.,BT2
Ý nghĩa của từ khóa final khi đặt trước một tên lớp là gì?,BT2
Tại sao phương thức main trong Java luôn phải khai báo là static?,BT2
"Giải thích mối quan hệ ""is-a"" và ""has-a"" trong thiết kế hướng đối tượng.",BT2
Khi nào bạn nên sử dụng ArrayList thay vì một mảng (Array) cố định?,BT2
Phân biệt ý nghĩa của phép so sánh == và phương thức equals() đối với đối tượng.,BT2
Giải thích vai trò của từ khóa super() trong hàm khởi tạo của lớp con.,BT2
Mô tả cách hoạt động của khối try-catch-finally.,BT2
Tại sao cần phải sử dụng @Override khi ghi đè một phương thức?,BT2
Interface khác Abstract Class ở điểm cốt lõi nào về việc chứa các thuộc tính?,BT2
Giải thích tính trừu tượng (Abstraction) thông qua ví dụ thực tế về chiếc xe máy.,BT2
Mục đích của việc sử dụng các gói (Packages) trong dự án Java là gì?,BT2
Ý nghĩa của tham số String[] args trong phương thức main là gì?,BT2
Tại sao biến thành viên nên để là private thay vì public?,BT2
"Tại sao hàm khởi tạo (Constructor) không có kiểu trả về, kể cả là void?",BT2
Giải thích tại sao một lớp abstract không thể bị khởi tạo bằng từ khóa new.,BT2
Sự khác biệt giữa việc ném ngoại lệ bằng throw và khai báo ngoại lệ bằng throws là gì?,BT2
Tại sao ta nên sử dụng StringBuilder thay vì cộng chuỗi bằng toán tử + trong vòng lặp lớn?,BT2
"Cơ chế ""Late Binding"" (Liên kết muộn) trong đa hình hoạt động như thế nào?",BT2
Giải thích ý nghĩa của từ khóa default trong một Interface (từ Java 8 trở đi).,BT2
Tại sao một phương thức tĩnh (static) không thể truy cập trực tiếp các biến thực thể (non-static)?,BT2
Phân biệt ý nghĩa của shallow copy và deep copy khi sao chép đối tượng.,BT2
Tại sao Java lại yêu cầu xử lý các Checked Exception ngay tại thời điểm biên dịch?,BT2
Giải thích vai trò của lớp Wrapper trong việc đưa các kiểu nguyên thủy vào ArrayList.,BT2
Mục đích của việc sử dụng từ khóa super trong phương thức ghi đè (Override) là gì?,BT2
"Tại sao Interface được coi là một công cụ để thực hiện ""Đa kế thừa"" trong Java?",BT2
Giải thích cơ chế truyền tham chiếu (pass-by-reference) đối với đối tượng trong Java.,BT2
Sự khác biệt về phạm vi truy cập giữa protected và default (package-private) là gì?,BT2
Tại sao khối finally vẫn chạy ngay cả khi có lệnh return trong khối try?,BT2
Giải thích tại sao lớp con không thể kế thừa các Constructor của lớp cha.,BT2
Ý nghĩa của việc gán một đối tượng lớp con cho một biến tham chiếu kiểu lớp cha là gì?,BT2
Tại sao chúng ta cần ghi đè phương thức equals() khi làm việc với HashSet?,BT2
Giải thích sự khác biệt giữa Error và RuntimeExecution về khả năng hồi phục của chương trình.,BT2
Tại sao việc sử dụng Generic giúp tránh được lỗi ClassCastException?,BT2
Mô tả mối liên hệ giữa lớp File và các lớp Stream trong gói java.io.,BT2
Giải thích tại sao phương thức finalize() hiện nay không được khuyến khích sử dụng.,BT2
Tại sao một Interface có thể chứa các hằng số nhưng không thể chứa các biến thực thể?,BT2
Phân biệt cách sử dụng this() và super() bên trong các hàm khởi tạo.,BT2
Giải thích tại sao nạp chồng phương thức (Overloading) không thể chỉ dựa vào kiểu trả về.,BT2
Tại sao lớp String lại được thiết kế là final (không cho phép kế thừa)?,BT2
"Giải thích cơ chế ""Boxing"" và ""Unboxing"" tự động trong Java.",BT2
Tại sao ta không thể sử dụng từ khóa this bên trong một phương thức static?,BT2
Mô tả cách Java tìm kiếm phương thức để thực thi khi một đối tượng lớp con gọi phương thức ghi đè.,BT2
Giải thích ý nghĩa của Upcasting và tại sao nó luôn an toàn trong OOP.,BT2
Tại sao phương thức khởi tạo mặc định sẽ biến mất nếu ta tự định nghĩa một khởi tạo có tham số?,BT2
Phân biệt sự khác nhau giữa Iterator và vòng lặp for thông thường khi duyệt Collection.,BT2
Giải thích tại sao Abstract Class có thể có hàm khởi tạo dù không tạo được đối tượng.,BT2
Mục đích của từ khóa volatile trong lập trình đa luồng (multi-threading) cơ bản là gì?,BT2
Tại sao một Interface không thể thực thi (implement) một Interface khác mà phải dùng extends?,BT2
Giải thích cách Java xử lý bộ nhớ Stack cho biến cục bộ và Heap cho đối tượng.,BT2
Tại sao việc lạm dụng tính kế thừa có thể làm phá vỡ tính đóng gói của lớp cha?,BT2
Phân biệt ý nghĩa của implements và extends trong các sơ đồ lớp.,BT2
Giải thích lý do tại sao không nên ném (throw) các đối tượng thuộc lớp Throwable trực tiếp.,BT2
Tại sao cần có cơ chế SerialVersionUID khi thực hiện Serializable đối tượng?,BT2
Giải thích tại sao phương thức main phải là public.,BT2
Mô tả cách hoạt động của toán tử instanceof trong các cấu trúc điều khiển.,BT2
Tại sao các lớp trong Java Collection Framework đều thực thi interface Iterable?,BT2
Giải thích sự khác biệt giữa Byte Stream và Character Stream trong Java I/O.,BT2
Tại sao một phương thức private không bao giờ có thể bị ghi đè (Override)?,BT2
Giải thích cơ chế nạp lớp (Class Loading) cơ bản của JVM.,BT2
Tại sao chúng ta nên ưu tiên sử dụng Composition (Hợp thành) hơn là Inheritance (Kế thừa)?,BT2
Mô tả ý nghĩa của trạng thái null đối với một biến tham chiếu đối tượng.,BT2
Tại sao hàm clone() của lớp Object lại có phạm vi là protected?,BT2
Giải thích tại sao Java hỗ trợ nạp chồng phương thức dựa trên số lượng tham số khác nhau.,BT2
Tại sao việc bắt ngoại lệ Exception (chung) được coi là một thói quen lập trình không tốt?,BT2
Giải thích sự khác biệt giữa Comparator và Comparable về tính linh hoạt khi sắp xếp.,BT2
Tại sao biến khai báo trong Interface mặc định luôn là public static final?,BT2
Mô tả luồng thực thi khi một ngoại lệ xảy ra nhưng không được bắt ở hàm hiện tại.,BT2
Tại sao phương thức equals() mặc định của lớp Object lại so sánh địa chỉ ô nhớ?,BT2
Giải thích vai trò của gói java.util đối với việc quản lý các cấu trúc dữ liệu.,BT2
Tại sao chúng ta không thể tạo một mảng các kiểu Generic (ví dụ: new T[10])?,BT2
Giải thích cách từ khóa static giúp tiết kiệm bộ nhớ cho chương trình.,BT2
Tại sao cần sử dụng try-with-resources thay cho khối finally để đóng file từ Java 7?,BT2
"Mô tả mối quan hệ giữa Class và Object thông qua khái niệm ""Khuôn mẫu"" và ""Sản phẩm"".",BT2
Viết lớp SinhVien có thuộc tính và phương thức phù hợp.,BT3
Viết chương trình minh họa overloading.,BT3
Viết chương trình minh họa overriding.,BT3
Xây dựng lớp trừu tượng Shape và lớp con Circle.,BT3
Viết ví dụ sử dụng interface Movable.,BT3
Viết chương trình xử lý ngoại lệ khi nhập sai số.,BT3
Cài đặt ArrayList để quản lý danh sách sinh viên.,BT3
Viết chương trình tính lương sử dụng kế thừa.,BT3
Tạo constructor có tham số và không tham số.,BT3
Xây dựng lớp có thuộc tính static đếm số đối tượng.,BT3
Viết ví dụ minh họa tính đa hình.,BT3
Thiết kế lớp quản lý tài khoản ngân hàng.,BT3
Sử dụng HashMap để lưu trữ dữ liệu.,BT3
Viết chương trình kiểm tra encapsulation.,BT3
Cài đặt lớp sử dụng từ khóa final.,BT3
Tạo project Java gồm nhiều package.,BT3
Viết ví dụ ném và bắt exception tùy chỉnh.,BT3
Viết chương trình đọc/ghi file cơ bản.,BT3
Xây dựng sơ đồ lớp cho bài toán quản lý điểm.,BT3
Tạo lớp Generic đơn giản.,BT3
"Viết đoạn mã Java khai báo lớp HinhChuNhat với hai thuộc tính dai, rong và phương thức tinhDienTich().",BT3
Sử dụng Scanner để nhập một số nguyên từ bàn phím và kiểm tra tính chẵn lẻ.,BT3
Vận dụng tính kế thừa: Xây dựng lớp NhanVien và lớp con NhanVienBanHang.,BT3
Viết vòng lặp for-each để in ra các phần tử của một ArrayList<String>.,BT3
Cài đặt một hàm khởi tạo (Constructor) có tham số để gán giá trị cho thuộc tính của đối tượng.,BT3
Viết mã lệnh sử dụng phương thức String.split() để tách một câu thành các từ.,BT3
Sử dụng Collections.sort() để sắp xếp một danh sách các số nguyên giảm dần.,BT3
Tạo một Interface DongVat có phương thức tiengKeu() và thực thi nó ở lớp Meo.,BT3
Viết đoạn mã xử lý ngoại lệ ArithmeticException khi chia một số cho 0.,BT3
Sử dụng từ khóa this để phân biệt tên thuộc tính và tên tham số trong phương thức setter.,BT3
"Chuyển đổi một chuỗi số ""123"" sang kiểu dữ liệu int trong Java.",BT3
Cài đặt phương thức toString() để trả về thông tin chi tiết của đối tượng sinh viên.,BT3
"Vận dụng ArrayList: Thêm, sửa, và xóa một phần tử dựa trên vị trí index.",BT3
Viết chương trình tính tổng các số chẵn trong mảng một chiều gồm n phần tử.,BT3
Khai báo một mảng các đối tượng và khởi tạo từng đối tượng trong mảng đó.,BT3
Sử dụng StringBuilder để đảo ngược một chuỗi ký tự nhập vào.,BT3
"Vận dụng đa hình: Gọi cùng một phương thức ve() từ danh sách các đối tượng Hình tròn, Hình vuông.",BT3
Viết phương thức tĩnh (static) để tìm số lớn nhất trong 3 số thực.,BT3
Sử dụng khối finally để đóng đối tượng Scanner sau khi sử dụng xong.,BT3
Cài đặt so sánh hai đối tượng SinhVien dựa trên điểm trung bình (GPA).,BT3
Viết đoạn mã khởi tạo một đối tượng Student và thiết lập giá trị cho id bằng phương thức setter.,BT3
Thực hiện phép cộng hai phân số bằng cách xây dựng phương thức add(PhanSo ps) trong lớp PhanSo.,BT3
Sử dụng StringTokenizer để đếm số lượng từ trong một chuỗi nhập từ bàn phím.,BT3
Vận dụng ArrayList: Viết mã lệnh để tìm kiếm một sinh viên theo mã số trong một danh sách cho trước.,BT3
Viết phương thức kiểm tra một số nguyên có phải là số thuận nghịch (palindrome) hay không.,BT3
Cài đặt phương thức main để đọc tham số từ dòng lệnh (Command Line Arguments) và in chúng ra.,BT3
Sử dụng PrintWriter để ghi một mảng các chuỗi vào tệp tin có tên data.txt.,BT3
Vận dụng kế thừa: Xây dựng lớp HinhVuong từ lớp HinhChuNhat bằng cách ghi đè phương thức setRong().,BT3
Viết mã lệnh thực hiện việc hoán vị giá trị của hai đối tượng Point thông qua một biến trung gian.,BT3
"Sử dụng SimpleDateFormat để chuyển đổi một chuỗi ngày tháng dạng ""dd/MM/yyyy"" sang đối tượng Date.",BT3
Cài đặt phương thức tính lũy thừa an bằng cách sử dụng đệ quy trong một lớp tiện ích.,BT3
Vận dụng Interface: Xây dựng lớp HinhTron thực thi interface Shape có phương thức draw().,BT3
"Viết đoạn mã Java sử dụng Scanner để đọc dữ liệu cho đến khi người dùng nhập chữ ""exit"".",BT3
"Sử dụng cấu trúc switch-case để thực hiện các phép tính (+, -, *, /) dựa trên ký tự phép toán nhập vào.",BT3
Vận dụng Static: Viết phương thức để đếm số lượng đối tượng được tạo ra từ một lớp cụ thể.,BT3
Cài đặt thuật toán sắp xếp nổi bọt (Bubble Sort) cho một mảng các số nguyên.,BT3
Sử dụng try-catch để bắt lỗi khi người dùng nhập chuỗi thay vì nhập số nguyên bằng nextInt().,BT3
Viết phương thức trả về giá trị trung bình cộng của các phần tử trong một ArrayList<Double>.,BT3
"Vận dụng đa hình: Khai báo mảng Animal[] chứa các đối tượng Dog và Cat, sau đó gọi phương thức makeSound().",BT3
Sử dụng StringBuilder để xóa tất cả các ký tự là chữ số trong một chuỗi.,BT3
"Viết mã lệnh định nghĩa một lớp Pair<K, V> theo kiểu Generic để lưu trữ cặp khóa - giá trị.",BT3
Thực hiện ghi đè phương thức hashCode() sao cho nó trả về giá trị dựa trên thuộc tính id của đối tượng.,BT3
"Vận dụng xử lý xâu: Viết mã lệnh để chuẩn hóa tên người (viết hoa chữ cái đầu, các chữ sau viết thường).",BT3
Sử dụng Stack để thực hiện chuyển đổi một số từ hệ thập phân sang hệ nhị phân.,BT3
Viết mã lệnh để kiểm tra xem một ArrayList có chứa giá trị null hay không.,BT3
Vận dụng lớp Math: Tính cạnh huyền của tam giác vuông khi biết hai cạnh góc vuông.,BT3
Cài đặt interface Comparable cho lớp Product để sắp xếp sản phẩm theo giá bán tăng dần.,BT3
Sử dụng HashMap để đếm số lần xuất hiện của mỗi từ trong một đoạn văn bản.,BT3
Viết đoạn mã để liệt kê tất cả các tệp tin có trong một thư mục cho trước.,BT3
Vận dụng Abstract Class: Tạo lớp NhanVien trừu tượng và cài đặt phương thức tinhLuong() ở lớp con.,BT3
Sử dụng String.format() để in ra một số thực với 2 chữ số thập phân sau dấu phẩy.,BT3
Viết mã lệnh ném ra một IllegalArgumentException nếu tuổi nhập vào nhỏ hơn 0.,BT3
Vận dụng LinkedList: Thêm một phần tử vào giữa danh sách tại vị trí index k.,BT3
Cài đặt phương thức clone() để thực hiện nhân bản một đối tượng Employee.,BT3
Sử dụng vòng lặp để in ra các số nguyên tố trong khoảng từ 1 đến N.,BT3
Vận dụng Array: Viết mã lệnh để tìm phần tử lớn thứ hai trong một mảng số nguyên.,BT3
Sử dụng Random để tạo một danh sách gồm 10 số nguyên ngẫu nhiên không trùng nhau.,BT3
Viết phương thức tĩnh (static) để tính tổng các phần tử trên đường chéo chính của ma trận vuông.,BT3
Vận dụng đa hình thông qua interface: Tạo một mảng các đối tượng có thể bay (Flyable).,BT3
Sử dụng FileReader và BufferedReader để đọc dữ liệu từng dòng từ một file văn bản.,BT3
Viết mã lệnh khởi tạo một đối tượng lớp ẩn danh (Anonymous Inner Class) thực thi một interface.,BT3
Vận dụng Exception: Viết mã lệnh tự định nghĩa một ngoại lệ InsufficientFundsException.,BT3
Sử dụng String.replace() để thay thế tất cả các từ nhạy cảm trong một đoạn văn bản.,BT3
Viết mã lệnh chuyển đổi một mảng (Array) thành một danh sách (List).,BT3
Vận dụng Set: Viết mã lệnh để loại bỏ các phần tử trùng lặp trong một ArrayList.,BT3
"Sử dụng Calendar để tìm ngày hiện tại của tuần (Thứ Hai, Thứ Ba,...).",BT3
Cài đặt phương thức equals() để so sánh hai đối tượng Book dựa trên mã ISBN.,BT3
Viết mã lệnh Java để tính tổng các chữ số của một số nguyên dương N.,BT3
Vận dụng xử lý tệp: Sao chép nội dung từ file input.txt sang file output.txt.,BT3
"Sử dụng Comparator để sắp xếp danh sách sinh viên theo tên, nếu trùng tên thì sắp xếp theo tuổi.",BT3
Viết mã lệnh tạo một luồng (Thread) đơn giản bằng cách thực thi interface Runnable.,BT3
Vận dụng Generic: Viết một phương thức tĩnh in ra tất cả các phần tử của một mảng kiểu T bất kỳ.,BT3
"Sử dụng String.contains() để lọc danh sách các sản phẩm có chứa từ khóa ""Apple"".",BT3
Viết mã lệnh Java để tìm ước số chung lớn nhất (GCD) của hai số nguyên.,BT3
Vận dụng Super: Gọi constructor của lớp cha có 2 tham số từ constructor của lớp con.,BT3
Sử dụng Vector để lưu trữ dữ liệu và thực hiện thao tác xóa phần tử cuối cùng.,BT3
Viết mã lệnh thực hiện tìm kiếm nhị phân trên một mảng đã được sắp xếp.,BT3
"Vận dụng Enum: Tạo một Enum HocLuc (GIOI, KHA, TRUNG_BINH) và in ra giá trị của nó.",BT3
Sử dụng FileOutputStream để ghi một mảng byte vào file hình ảnh.,BT3
Viết mã lệnh Java để kiểm tra một xâu có phải là tập con của một xâu khác hay không.,BT3
Phân tích bài toán quản lý thư viện thành các lớp.,BT4
Xác định các thuộc tính và phương thức cho hệ thống bán hàng.,BT4
Phân tích quan hệ giữa các lớp trong hệ thống ATM.,BT4
Phân tích lợi ích của abstraction trong hệ thống lớn.,BT4
Phân tích khi nào nên dùng abstract class thay vì interface.,BT4
Phân tích lỗi thiết kế khi vi phạm encapsulation.,BT4
Phân tích cấu trúc lớp chưa tuân thủ nguyên lý SOLID.,BT4
Phân tích sự phụ thuộc giữa các module.,BT4
Phân tích ưu/nhược điểm của kế thừa sâu nhiều tầng.,BT4
Phân tích sự khác biệt giữa composition và inheritance.,BT4
Phân tích hệ thống quản lý sinh viên theo UML.,BT4
Phân tích rủi ro khi dùng biến public.,BT4
Phân tích hiệu năng giữa ArrayList và LinkedList.,BT4
Phân tích cấu trúc chương trình chưa tối ưu.,BT4
Phân tích vai trò của interface trong mở rộng hệ thống.,BT4
Phân tích chiến lược tổ chức package.,BT4
Phân tích cách chia module trong dự án nhóm.,BT4
Phân tích cách tái cấu trúc code OOP cũ.,BT4
Phân tích sự cần thiết của unit test trong OOP.,BT4
Phân tích nguyên nhân gây lỗi runtime polymorphism.,BT4
Phân tích tại sao việc sử dụng Interface giúp giảm độ phụ thuộc (loose coupling) giữa các lớp?,BT4
Chỉ ra sự khác biệt về cách quản lý bộ nhớ khi truyền tham số kiểu nguyên thủy và kiểu đối tượng.,BT4
Tại sao cấu trúc cây nhị phân (trong bài tập) lại cần thuộc tính là chính kiểu dữ liệu của lớp đó?,BT4
Phân tích lỗi xảy ra nếu ta cố tình ghi đè một phương thức static từ lớp cha ở lớp con.,BT4
So sánh ưu và nhược điểm của HashMap so với TreeMap về tốc độ truy xuất và thứ tự dữ liệu.,BT4
Tại sao không nên sử dụng Vector trong các ứng dụng đơn luồng thay vì ArrayList?,BT4
Phân tích tác động của từ khóa transient đối với quá trình Tuần tự hóa (Serialization).,BT4
Điểm khác biệt giữa Error và Exception trong hệ thống phân cấp Throwable là gì?,BT4
Phân tích tại sao tính đa hình lại phụ thuộc vào việc ghi đè phương thức (Overriding).,BT4
"Trong sơ đồ lớp quản lý sinh viên, hãy chỉ ra mối quan hệ giữa lớp LopHoc và SinhVien.",BT4
Tại sao Java lại thiết kế lớp String là bất biến (immutable)?,BT4
Phân tích cơ chế ném ngoại lệ (throws) từ phương thức con lên phương thức gọi nó.,BT4
Phân tích sự cần thiết của phương thức hashCode() khi ghi đè phương thức equals().,BT4
Tại sao việc lạm dụng kế thừa quá sâu (nhiều cấp) lại khiến mã nguồn khó bảo trì?,BT4
Chỉ ra lỗi logic trong đoạn code sử dụng Scanner khi đọc số rồi đọc chuỗi liền sau đó.,BT4
"So sánh sự khác biệt giữa String, StringBuilder và StringBuffer.",BT4
Phân tích cách Java xử lý việc ép kiểu ngược (Downcasting) và rủi ro ClassCastException.,BT4
Tại sao nên dùng Generic (như ArrayList<T>) thay vì dùng ArrayList thuần đối tượng?,BT4
Phân tích cấu trúc một File nhị phân so với File văn bản trong Java I/O.,BT4
Chỉ ra các thành phần bắt buộc của một lớp trừu tượng (Abstract Class) để có thể chạy được.,BT4
Phân tích sự khác biệt về luồng thực thi khi gọi một phương thức được nạp chồng (Overloading) tại thời điểm biên dịch và ghi đè (Overriding) tại thời điểm thực thi.,BT4
Chỉ ra sự khác biệt giữa việc sử dụng Abstract Class và Interface khi thiết kế các hành vi chung cho các lớp không cùng hệ thống phân cấp.,BT4
Phân tích tác động của việc không sử dụng từ khóa volatile đối với một biến được chia sẻ giữa nhiều luồng (Thread).,BT4
Tại sao việc ép kiểu xuôi (Upcasting) không bao giờ gây ra lỗi ClassCastException trong khi ép kiểu ngược (Downcasting) lại có nguy cơ này?,BT4
Phân tích lỗi logic trong một phương thức đệ quy nếu thiếu điều kiện dừng (Base case) dựa trên cấu trúc ngăn xếp (Stack).,BT4
